date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
September '11	34,0 (61)	27,1 (47)	16,5 (28)	4,3 (7)	5,2 (9)	4,7 (8)	5,4 (9)	0,0 (0)	1,6 (0)	1,4 (0)
August '11	38,4 (70)	22,5 (39)	17,2 (30)	5,3 (8)	4,5 (7)	5,1 (8)	4,1 (7)	0,0 (0)	1,5 (0)	1,2 (0)
Juli '11	31,2 (56)	27,0 (45)	19,7 (37)	5,5 (9)	4,5 (7)	4,9 (8)	4,4 (7)	0,0 (0)	1,3 (0)	1,1 (0)
Juni '11	29,1 (53)	29,0 (50)	19,1 (34)	5,2 (8)	5,0 (8)	5,4 (9)	4,3 (7)	0,0 (0)	1,6 (0)	1,2 (0)
Mai '11	29,9 (55)	27,3 (45)	19,2 (35)	5,6 (9)	5,1 (8)	4,9 (8)	5,3 (9)	0,0 (0)	1,6 (0)	1,1 (0)
April '11	29,3 (54)	27,0 (46)	18,9 (35)	5,8 (9)	5,3 (8)	5,0 (8)	5,3 (9)	0,0 (0)	1,6 (0)	1,7 (0)
Mars '11	28,2 (52)	27,2 (45)	22,2 (40)	6,0 (10)	4,9 (8)	4,4 (7)	4,1 (7)	0,0 (0)	1,6 (0)	1,3 (0)
Februar '11	27,7 (52)	26,2 (44)	23,2 (41)	5,7 (9)	4,9 (8)	4,8 (8)	4,8 (7)	0,0 (0)	1,5 (0)	1,2 (0)
Januar '11	27,5 (52)	26,3 (44)	23,8 (41)	5,5 (9)	4,9 (8)	4,6 (8)	4,3 (7)	0,0 (0)	1,5 (0)	1,5 (0)
Desember '10	26,1 (49)	26,1 (44)	25,3 (44)	5,8 (9)	4,9 (8)	4,7 (8)	4,2 (7)	0,0 (0)	1,5 (0)	1,4 (0)
November '10	27,7 (52)	26,2 (44)	24,1 (41)	5,5 (9)	4,9 (8)	4,6 (8)	4,4 (7)	0,0 (0)	1,5 (0)	1,0 (0)
Oktober '10	28,9 (52)	26,1 (45)	23,6 (41)	5,4 (9)	4,7 (8)	4,3 (7)	4,1 (7)	0,0 (0)	1,6 (0)	1,3 (0)
September '10	27,5 (52)	27,2 (45)	22,9 (41)	5,5 (9)	5,0 (8)	4,6 (7)	4,5 (7)	0,0 (0)	1,6 (0)	1,2 (0)
August '10	26,6 (49)	27,1 (47)	22,8 (40)	5,6 (9)	5,0 (8)	5,3 (9)	4,6 (7)	0,0 (0)	1,8 (0)	1,2 (0)
Juli '10	29,0 (53)	25,5 (43)	22,3 (40)	5,6 (9)	5,4 (9)	5,1 (8)	4,3 (7)	0,0 (0)	1,4 (0)	1,5 (0)
Juni '10	28,7 (53)	24,9 (43)	23,5 (42)	6,1 (10)	5,3 (9)	4,9 (9)	3,8 (3)	0,0 (0)	1,5 (0)	1,3 (0)
Mai '10	30,2 (55)	24,3 (42)	22,6 (40)	5,9 (9)	5,4 (9)	4,9 (8)	4,1 (6)	0,0 (0)	1,3 (0)	1,3 (0)
April '10	29,8 (53)	23,6 (41)	23,9 (43)	6,2 (11)	5,2 (9)	5,0 (9)	3,8 (3)	0,0 (0)	1,3 (0)	0,6 (0)
Mars '10	31,1 (55)	22,2 (38)	23,7 (43)	6,2 (10)	5,2 (8)	4,8 (8)	4,1 (7)	0,0 (0)	1,6 (0)	0,3 (0)
Februar '10	32,6 (60)	22,4 (39)	22,7 (40)	6,5 (11)	5,1 (9)	4,3 (7)	3,9 (3)	0,0 (0)	1,5 (0)	0,0 (0)
Januar '10	31,3 (57)	21,5 (35)	23,4 (41)	6,5 (11)	5,5 (9)	5,3 (9)	4,0 (7)	0,0 (0)	1,5 (0)	0,0 (0)
Desember '09	30,7 (56)	21,5 (36)	23,1 (41)	7,2 (11)	5,4 (9)	5,4 (9)	4,1 (7)	0,0 (0)	1,8 (0)	0,0 (0)
November '09	34,0 (62)	20,1 (33)	21,9 (39)	6,0 (10)	5,8 (9)	5,8 (9)	4,1 (7)	0,0 (0)	1,4 (0)	0,0 (0)
Oktober '09	35,3 (62)	19,3 (33)	22,8 (41)	6,1 (10)	5,4 (9)	4,4 (7)	4,1 (7)	0,0 (0)	0,0 (0)	0,0 (0)
September '09	32,6 (58)	16,2 (28)	23,0 (41)	7,1 (12)	6,0 (10)	6,4 (11)	5,3 (9)	0,0 (0)	0,0 (0)	0,0 (0)
August '09	32,3 (59)	14,1 (23)	25,6 (47)	7,5 (12)	5,9 (9)	6,1 (10)	5,3 (9)	0,0 (0)	0,0 (0)	0,0 (0)
Juli '09	33,5 (63)	13,1 (21)	27,5 (49)	7,1 (11)	5,2 (8)	6,0 (9)	4,9 (8)	0,0 (0)	0,0 (0)	0,0 (0)
Juni '09	32,8 (59)	13,6 (22)	26,1 (48)	7,2 (12)	5,7 (9)	5,9 (10)	5,6 (9)	0,0 (0)	0,0 (0)	0,0 (0)
Mai '09	32,9 (62)	13,8 (22)	26,4 (48)	7,5 (12)	5,0 (8)	6,0 (9)	5,4 (8)	0,0 (0)	0,0 (0)	0,0 (0)
April '09	32,4 (59)	13,9 (23)	27,2 (49)	7,1 (11)	5,8 (9)	6,0 (10)	4,9 (8)	0,0 (0)	0,0 (0)	0,0 (0)
Mars '09	32,8 (60)	13,8 (22)	27,3 (49)	7,0 (11)	5,5 (9)	6,2 (10)	5,0 (8)	0,0 (0)	0,0 (0)	0,0 (0)
Februar '09	34,0 (63)	15,2 (24)	23,9 (44)	7,1 (11)	5,0 (8)	5,9 (9)	6,1 (10)	0,0 (0)	0,0 (0)	0,0 (0)
Januar '09	33,9 (64)	16,1 (25)	23,2 (41)	7,5 (12)	5,5 (9)	6,0 (10)	4,8 (8)	0,0 (0)	0,0 (0)	0,0 (0)
Desember '08	30,7 (54)	17,4 (30)	23,7 (43)	7,8 (13)	5,7 (10)	6,3 (10)	5,5 (9)	0,0 (0)	0,4 (0)	0,0 (0)
November '08	31,4 (57)	15,9 (27)	24,2 (42)	7,8 (13)	5,5 (9)	6,6 (11)	5,8 (10)	0,0 (0)	1,4 (0)	0,0 (0)
Oktober '08	30,6 (55)	16,1 (27)	26,7 (47)	7,3 (12)	5,3 (9)	5,6 (10)	5,5 (9)	0,0 (0)	1,2 (0)	0,0 (0)
September '08	28,9 (55)	15,2 (23)	29,9 (56)	6,3 (9)	5,0 (8)	5,7 (9)	5,9 (9)	0,0 (0)	1,5 (0)	0,0 (0)
August '08	26,6 (49)	16,2 (27)	30,9 (54)	6,7 (11)	5,2 (9)	5,5 (9)	6,0 (10)	0,0 (0)	1,7 (0)	0,0 (0)
Juli '08	26,9 (49)	17,2 (30)	30,2 (51)	6,6 (11)	4,7 (8)	6,1 (10)	5,4 (9)	0,0 (0)	1,9 (1)	0,0 (0)
Juni '08	26,0 (49)	17,6 (31)	28,9 (49)	6,9 (11)	5,3 (9)	6,1 (10)	5,9 (10)	0,0 (0)	1,8 (0)	0,0 (0)
Mai '08	28,9 (52)	17,8 (31)	25,9 (46)	6,7 (11)	5,7 (9)	6,2 (10)	6,2 (10)	0,0 (0)	1,4 (0)	0,0 (0)
April '08	29,0 (54)	16,9 (28)	25,4 (44)	6,5 (11)	5,5 (9)	7,0 (12)	6,8 (11)	0,0 (0)	1,2 (0)	0,0 (0)
Mars '08	28,7 (52)	18,1 (33)	25,2 (44)	7,0 (11)	5,6 (9)	6,1 (10)	6,3 (10)	0,0 (0)	1,1 (0)	0,0 (0)
Februar '08	29,0 (54)	17,3 (29)	25,2 (44)	6,7 (11)	5,9 (10)	6,3 (10)	6,6 (11)	0,0 (0)	1,3 (0)	0,0 (0)
Januar '08	29,3 (54)	17,2 (29)	23,9 (44)	7,4 (12)	6,1 (10)	6,4 (10)	6,5 (10)	0,0 (0)	1,3 (0)	0,0 (0)
